CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 1900.. 2000.. 2100.. 2200.. 2300.. 2400.. 2500.. 2600.. 2700.. 2800.. 2900.. 3000.. 3100.. 3200.. 3300.. 3400.. 3500.. 3600.. 3700.. 3800.. 3900.. 4000.. 4100.. 4200.. 4300.. 4400.. 4500.. 4600.. 4700.. 4800.. 4900.. 5000.. 5100.. 5200.. 5300.. 5400.. 5500.. 5600.. 5700.. 5800.. 5900.. 6000.. 6100.. 6200.. 6300.. 6400.. 6500.. 6600.. 6700.. 6800.. 6900.. 7000.. 7100.. 7200.. 7300.. 7400.. 7500.. 7600.. 7700.. 7800.. 7900.. 8000.. 8100.. 8200.. 8300.. 8400.. 8500.. 8600.. 8700.. 8800.. 8900.. 9000.. 9100.. 9200.. 9300.. 9400.. 9500.. 9600.. 9700.. 9800.. 9900.. 10000.. 10100.. 10200.. 10300.. 10400.. 10500.. 10600.. 10700.. 10800.. 10900.. 11000.. 11100.. 11200.. 11300.. 11400.. 11500.. 11600.. 11700.. 11800.. 11900.. 12000.. 12100.. 12200.. 12300.. 12400.. 12500.. 12600.. 12700.. 12800.. 12900.. 13000.. 13100.. 13200.. 13300.. 13400.. 13500.. 13600.. 13700.. 13800.. 13900.. 14000.. 14100.. 14200.. 14300.. 14400.. 14500.. 14600.. 14700.. 14800.. 14900.. 15000.. 15100.. 15200.. 15300.. 15400.. 15500.. 15600.. 15700.. 15800.. 15900.. 16000.. 16100.. 16200.. 16300.. 16400.. 16500.. 16600.. 16700.. 16800.. 16900.. 17000.. 17100.. 17200.. 17300.. 17400.. 17500.. 17600.. 17700.. 17800.. 17900.. 18000.. 18100.. 18200.. 18300.. 18400.. 18500.. 18600.. 18700.. 18800.. 18900.. 19000.. 
Done!24.39 s

Number of sentences: 19054
Number of features:  1141248
Number of thread(s): 50
Freq:                5
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=0 terr=0.67958 serr=1.00000 act=1141248 obj=2531994.56328 diff=1.00000
iter=1 terr=0.44880 serr=0.96956 act=1141248 obj=2073960.06916 diff=0.18090
iter=2 terr=0.37797 serr=0.93828 act=1141248 obj=1830854.70773 diff=0.11722
iter=3 terr=0.36155 serr=0.93702 act=1141248 obj=1612893.98163 diff=0.11905
iter=4 terr=0.42677 serr=0.95487 act=1141248 obj=1189717.93883 diff=0.26237
iter=5 terr=0.41920 serr=0.95319 act=1141248 obj=991750.23918 diff=0.16640
iter=6 terr=0.36000 serr=0.94773 act=1141248 obj=862061.15481 diff=0.13077
iter=7 terr=0.33721 serr=0.94552 act=1141248 obj=781593.29668 diff=0.09334
iter=8 terr=0.31922 serr=0.94384 act=1141248 obj=717885.04184 diff=0.08151
iter=9 terr=0.30969 serr=0.94033 act=1141248 obj=682478.13760 diff=0.04932
iter=10 terr=0.29558 serr=0.93739 act=1141248 obj=664590.52387 diff=0.02621
iter=11 terr=0.28282 serr=0.93151 act=1141248 obj=647814.06002 diff=0.02524
iter=12 terr=0.26228 serr=0.91409 act=1141248 obj=613027.75167 diff=0.05370
iter=13 terr=0.24282 serr=0.91041 act=1141248 obj=562428.91288 diff=0.08254
iter=14 terr=0.22557 serr=0.90800 act=1141248 obj=551932.20300 diff=0.01866
iter=15 terr=0.23040 serr=0.90968 act=1141248 obj=544399.47836 diff=0.01365
iter=16 terr=0.23140 serr=0.91010 act=1141248 obj=541721.44256 diff=0.00492
iter=17 terr=0.23267 serr=0.90847 act=1141248 obj=536980.62539 diff=0.00875
iter=18 terr=0.23188 serr=0.90758 act=1141248 obj=530736.82851 diff=0.01163
iter=19 terr=0.23934 serr=0.90805 act=1141248 obj=531547.88779 diff=0.00153
iter=20 terr=0.23418 serr=0.90637 act=1141248 obj=524408.67364 diff=0.01343
iter=21 terr=0.22531 serr=0.90202 act=1141248 obj=517207.19178 diff=0.01373
iter=22 terr=0.22133 serr=0.90086 act=1141248 obj=512581.30027 diff=0.00894
iter=23 terr=0.21820 serr=0.90065 act=1141248 obj=509006.24095 diff=0.00697
iter=24 terr=0.21165 serr=0.89976 act=1141248 obj=496734.18188 diff=0.02411
iter=25 terr=0.20609 serr=0.89546 act=1141248 obj=477554.78676 diff=0.03861
iter=26 terr=0.20168 serr=0.88732 act=1141248 obj=462489.32065 diff=0.03155
iter=27 terr=0.19926 serr=0.88900 act=1141248 obj=450221.48132 diff=0.02653
iter=28 terr=0.19219 serr=0.88464 act=1141248 obj=434957.46059 diff=0.03390
iter=29 terr=0.18138 serr=0.87966 act=1141248 obj=420665.08367 diff=0.03286
iter=30 terr=0.17979 serr=0.87562 act=1141248 obj=427814.53838 diff=0.01700
iter=31 terr=0.17939 serr=0.87619 act=1141248 obj=416194.75785 diff=0.02716
